Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Cabecera altura,Datos1(m)Cabecera altura,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Abertura,Datos1(m)Abertura
2019-11-27 05:08:00,1739.0,-11.9,319.8,89.5,2604.4,73.85000000000001,1739.4,96.125
2019-11-27 05:12:00,1637.45,-12.6,143.1,89.5,2172.45,86.625,1740.05,99.15
2019-11-27 05:16:00,1630.379005524862,-12.40614640883978,146.93848987108655,89.10445672191528,1740.5,99.4,1740.1,99.4
2019-11-27 05:20:00,1623.3080110497237,-12.212292817679558,150.7769797421731,88.70891344383057,1707.990909090909,99.4,1733.0611111111111,99.13756944444445
2019-11-27 05:24:00,1616.2370165745856,-12.018439226519337,154.61546961325968,88.31337016574585,1675.4818181818182,99.4,1726.0222222222221,98.8751388888889
2019-11-27 05:28:00,1609.1660220994477,-11.824585635359115,158.45395948434623,87.91782688766114,1642.9727272727273,99.4,1718.9833333333333,98.61270833333334
2019-11-27 05:32:00,1602.0950276243095,-11.630732044198895,162.29244935543278,87.52228360957643,1610.4636363636364,99.4,1711.9444444444443,98.35027777777778
2019-11-27 05:36:00,1595.0240331491714,-11.436878453038673,166.13093922651933,87.12674033149172,1577.9545454545455,99.4,1704.9055555555556,98.08784722222222
2019-11-27 05:40:00,1587.9530386740332,-11.243024861878453,169.96942909760588,86.731197053407,1545.4454545454546,99.4,1697.8666666666666,97.82541666666667
2019-11-27 05:44:00,1580.882044198895,-11.049171270718231,173.80791896869243,86.33565377532229,1512.9363636363637,99.4,1690.8277777777778,97.56298611111112
2019-11-27 05:48:00,1573.811049723757,-10.855317679558011,177.64640883977899,85.94011049723757,1480.4272727272728,99.4,1683.7888888888888,97.30055555555556
2019-11-27 05:52:00,1566.7400552486188,-10.66146408839779,181.48489871086556,85.54456721915285,1447.918181818182,99.4,1676.75,97.03812500000001
2019-11-27 05:56:00,1559.6690607734806,-10.467610497237569,185.32338858195212,85.14902394106814,1415.409090909091,99.4,1669.711111111111,96.77569444444445
2019-11-27 06:00:00,1552.5980662983427,-10.273756906077349,189.16187845303867,84.75348066298342,1382.9,99.4,1662.6722222222222,96.5132638888889
2019-11-27 06:04:00,1545.5270718232046,-10.079903314917127,193.00036832412522,84.3579373848987,1376.3692307692309,98.91656804733728,1655.6333333333332,96.25083333333333
2019-11-27 06:08:00,1538.4560773480664,-9.886049723756905,196.8388581952118,83.962394106814,1369.8384615384616,98.43313609467457,1648.5944444444444,95.98840277777778
2019-11-27 06:12:00,1531.3850828729283,-9.692196132596685,200.67734806629835,83.56685082872929,1363.3076923076924,97.94970414201184,1641.5555555555554,95.72597222222223
2019-11-27 06:16:00,1524.31408839779,-9.498342541436465,204.5158379373849,83.17130755064457,1356.7769230769231,97.46627218934911,1634.5166666666667,95.46354166666667
2019-11-27 06:20:00,1517.243093922652,-9.304488950276243,208.35432780847145,82.77576427255985,1350.246153846154,96.9828402366864,1627.4777777777776,95.20111111111112
2019-11-27 06:24:00,1510.1720994475138,-9.11063535911602,212.192817679558,82.38022099447514,1343.7153846153847,96.49940828402367,1620.4388888888889,94.93868055555556
2019-11-27 06:28:00,1503.1011049723757,-8.9167817679558,216.03130755064456,81.98467771639042,1337.1846153846154,96.01597633136095,1613.3999999999999,94.67625000000001
2019-11-27 06:32:00,1496.0301104972377,-8.72292817679558,219.8697974217311,81.5891344383057,1330.6538461538462,95.53254437869823,1606.361111111111,94.41381944444444
2019-11-27 06:36:00,1488.9591160220996,-8.529074585635358,223.70828729281766,81.19359116022099,1324.123076923077,95.0491124260355,1599.322222222222,94.15138888888889
2019-11-27 06:40:00,1481.8881215469614,-8.335220994475137,227.54677716390424,80.79804788213627,1317.5923076923077,94.5656804733728,1592.2833333333333,93.88895833333333
2019-11-27 06:44:00,1474.8171270718233,-8.141367403314916,231.3852670349908,80.40250460405156,1311.0615384615385,94.08224852071007,1585.2444444444443,93.62652777777778
2019-11-27 06:48:00,1467.7461325966851,-7.947513812154696,235.22375690607734,80.00696132596686,1304.5307692307692,93.59881656804734,1578.2055555555555,93.36409722222223
2019-11-27 06:52:00,1460.675138121547,-7.753660220994475,239.06224677716392,79.61141804788214,1298.0,93.11538461538461,1571.1666666666665,93.10166666666667
2019-11-27 06:56:00,1453.6041436464088,-7.559806629834254,242.90073664825047,79.21587476979742,1291.4692307692308,92.6319526627219,1564.1277777777777,92.83923611111112
2019-11-27 07:00:00,1446.533149171271,-7.365953038674033,246.73922651933702,78.82033149171271,1284.9384615384615,92.14852071005917,1557.0888888888887,92.57680555555557
2019-11-27 07:04:00,1439.4621546961328,-7.172099447513812,250.57771639042357,78.42478821362799,1278.4076923076923,91.66508875739646,1550.05,92.314375
2019-11-27 07:08:00,1432.3911602209946,-6.978245856353591,254.41620626151013,78.02924493554328,1271.876923076923,91.18165680473373,1543.011111111111,92.05194444444444
2019-11-27 07:12:00,1425.3201657458565,-6.78439226519337,258.2546961325967,77.63370165745856,1265.346153846154,90.69822485207101,1535.9722222222222,91.78951388888889
2019-11-27 07:16:00,1418.2491712707183,-6.590538674033149,262.09318600368323,77.23815837937384,1258.8153846153848,90.2147928994083,1528.9333333333332,91.52708333333334
2019-11-27 07:20:00,1411.1781767955802,-6.396685082872928,265.9316758747698,76.84261510128914,1252.2846153846156,89.73136094674557,1521.8944444444444,91.26465277777778
2019-11-27 07:24:00,1404.107182320442,-6.202831491712707,269.77016574585633,76.44707182320442,1245.7538461538463,89.24792899408284,1514.8555555555554,91.00222222222223
