Tiempo,Escalas(m)Babor,Datos1(m)Babor,Escalas(m)Estribor,Datos1(Fa)Estribor,Escalas(m)Abertura Vertical,Datos1(m)Abertura Vertical,Escalas(m)Profundidad 1,Datos1(Fa)Profundidad 1
2019-11-27 02:28:00,584.375,48.525,646.2,59.4,536.125,25.475,548.2,48.3
2019-11-27 02:32:00,1143.8375,48.125,1174.175,138.2375,1237.5666666666666,25.958333333333332,1146.975,133.16250000000002
2019-11-27 02:36:00,1185.525,48.4125,1186.3300000000002,196.63000000000002,1246.84,26.32,1179.475,200.83749999999998
2019-11-27 02:40:00,1184.9571428571428,50.728571428571435,1184.7142857142858,226.42857142857142,1251.3999999999999,26.919999999999998,1179.6600000000003,228.67999999999998
2019-11-27 02:44:00,1187.125,51.85,1185.6111111111113,240.36666666666667,1251.2666666666667,29.088888888888885,1180.3500000000001,247.95000000000002
2019-11-27 02:48:00,1184.99,55.53000000000001,1185.7900000000002,251.05,1252.0400000000002,29.699999999999996,1179.2900000000002,257.18999999999994
2019-11-27 02:52:00,1184.87,53.209999999999994,1185.14,260.96999999999997,1251.4636363636364,28.509090909090904,1179.68,265.56
2019-11-27 02:56:00,1184.6333333333334,52.62222222222223,1185.02,268.81999999999994,1251.44,28.24,1179.5666666666666,273.17777777777775
2019-11-27 03:00:00,1185.34,54.64,1184.77,277.32000000000005,1250.4,29.310000000000002,1180.5,279.92857142857144
2019-11-27 03:04:00,1184.5888888888887,53.95,1184.45,291.23333333333335,1248.89,28.859999999999996,1178.92,293.255
2019-11-27 03:08:00,1184.0700000000002,54.459999999999994,1184.075,299.58124999999995,1248.7,28.85,1179.15,302.30999999999995
2019-11-27 03:12:00,1184.56,54.94,1184.1,304.24444444444447,1248.78,29.49,1178.7454545454545,309.3454545454546
2019-11-27 03:16:00,1184.9875000000002,53.2,1184.7199999999998,309.2,1249.09,29.070000000000004,1178.7666666666667,312.1222222222222
2019-11-27 03:20:00,1184.02,50.32000000000001,1184.1000000000001,311.51,1249.888888888889,27.12222222222222,1178.55,311.85
2019-11-27 03:24:00,1184.7,52.0,1184.46,311.33,1249.4499999999998,27.98,1179.042857142857,312.2285714285714
2019-11-27 03:28:00,1183.6666666666667,50.93333333333333,1184.111111111111,312.4333333333333,1249.9099999999999,27.32,1179.8428571428572,311.2785714285714
2019-11-27 03:32:00,1064.0833333333333,54.95000000000001,1074.9499999999998,312.175,1116.1499999999999,30.041666666666668,1083.6799999999998,314.59000000000003
2019-11-27 03:36:00,759.2900000000001,61.230000000000004,761.2714285714285,313.5642857142857,749.1899999999999,36.365,762.8799999999999,316.16
2019-11-27 03:40:00,1075.0666666666666,93.0,1025.3000000000002,297.12,1070.6857142857145,48.94285714285714,1079.6399999999999,318.83000000000004
2019-11-27 03:44:00,1175.909090909091,46.81818181818182,1149.8600000000001,307.87,1234.48,27.98,1170.76,322.68999999999994
2019-11-27 03:48:00,1183.6200000000001,46.68,1180.34,318.8450000000001,1248.8200000000002,24.82,1177.6599999999999,319.44
2019-11-27 03:52:00,1185.75,44.31000000000001,1182.6555555555556,315.59999999999997,1251.1636363636364,24.85454545454546,1179.19,315.53000000000003
2019-11-27 03:56:00,1184.91,47.559999999999995,1184.34,311.185,1252.81,25.609999999999996,1179.1272727272726,310.8272727272727
2019-11-27 04:00:00,1184.45,50.589999999999996,1184.7666666666667,304.35925925925926,1252.35,27.05,1178.73,307.06
2019-11-27 04:04:00,1184.6,52.02,1184.4875,298.95833333333337,1252.6200000000001,27.72,1178.7999999999997,300.24
2019-11-27 04:08:00,1185.1699999999998,51.92999999999999,1186.025,284.7,1253.98,27.57,1179.1299999999999,286.85
2019-11-27 04:12:00,1185.4363636363635,51.945454545454545,1185.01,273.13,1253.87,27.79,1179.3600000000001,277.05
2019-11-27 04:16:00,1185.3400000000001,52.019999999999996,1185.15,265.77500000000003,1254.49,27.660000000000004,1179.6499999999999,269.84000000000003
2019-11-27 04:20:00,1185.9111111111113,50.855555555555554,1188.0199999999998,253.92000000000002,1255.93,26.7,1180.31,259.89
2019-11-27 04:24:00,1159.1166666666666,52.322222222222216,1136.5333333333333,249.07500000000002,1168.2285714285715,27.685714285714287,1183.46,251.74
2019-11-27 04:28:00,614.1666666666666,53.02222222222222,619.625,248.91875000000002,661.3666666666667,29.200000000000003,674.46,248.94
2019-11-27 04:32:00,1085.5714285714287,75.14285714285714,999.425,246.4,1040.9666666666667,42.37777777777778,1083.02,251.6
2019-11-27 04:36:00,1171.7199999999998,62.56,1125.21,248.70999999999998,1230.3444444444444,39.533333333333324,1166.91,252.82999999999998
2019-11-27 04:40:00,1186.04,52.089999999999996,1183.0099999999998,256.975,1252.27,28.21,1179.9333333333334,258.1
2019-11-27 04:44:00,1185.8249999999998,52.41250000000001,1184.79,263.56,1252.54,27.940000000000005,1180.1599999999999,265.29
2019-11-27 04:48:00,1185.63,51.21,1184.5363636363636,272.22727272727275,1251.4699999999998,27.524999999999995,1179.8200000000002,275.19
2019-11-27 04:52:00,1185.5777777777778,53.511111111111106,1184.41,284.65999999999997,1250.4599999999998,28.26,1179.9899999999998,286.57
2019-11-27 04:56:00,1185.4454545454546,52.1090909090909,1184.2555555555557,295.4222222222222,1250.58,27.639999999999997,1179.7900000000002,297.21
2019-11-27 05:00:00,1185.81,53.895,1184.0400000000002,301.95,1250.1,29.468181818181822,1179.5899999999997,306.155
2019-11-27 05:04:00,1185.0571428571432,51.028571428571425,1183.9999999999998,305.28,1250.5555555555557,27.022222222222222,1179.7,306.5
