Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Cabecera altura,Datos1(m)Cabecera altura,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Abertura,Datos1(m)Abertura
2019-11-27 09:56:00,565.5700000000002,73.85166666666666,1531.225,27.925,1482.5,75.6,736.9,128.91666666666666
2019-11-27 10:00:00,109.1,128.875,904.2,27.8,1705.8,92.5,544.4,128.23333333333332
2019-11-27 10:04:00,1152.9,175.0,806.1,27.71666666666667,1553.9,45.85,590.8,127.89166666666665
2019-11-27 10:08:00,1311.5,121.95,708.0,27.633333333333333,1629.225,24.2,637.2,127.55
2019-11-27 10:12:00,1470.1,68.9,749.5,27.55,1704.55,2.5500000000000003,2967.8,126.86666666666666
2019-11-27 10:16:00,1702.1,-7.15,791.0,27.46666666666667,1777.6,4.966666666666667,2294.8333333333335,126.63888888888889
2019-11-27 10:20:00,1702.7,-8.2,998.4,27.383333333333333,1704.1,4.033333333333333,1621.8666666666668,126.41111111111111
2019-11-27 10:24:00,80.4,-8.433333333333334,1205.8,27.3,1704.5,2.95,948.9,126.18333333333334
2019-11-27 10:28:00,114.8,-8.55,1596.5,27.133333333333333,1704.2,2.0,1702.9,125.5
2019-11-27 10:32:00,149.2,-8.666666666666666,1328.1,27.05,1704.5,1.05,1702.8,115.3
2019-11-27 10:36:00,1702.0,-8.9,1059.7,26.96666666666667,1704.4,0.1,1903.4,110.3
2019-11-27 10:40:00,1701.9,-9.7,1763.7,26.8,1704.2,6.9,2647.2,105.3
