Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Abertura,Datos1(m)Abertura
2019-11-27 00:04:00,1723.65,-9.325,1720.25,-1.2666666666666666,1724.1,125.4
2019-11-27 00:08:00,1723.4250000000002,-9.2875,1719.65,-1.3,1723.9,124.8
2019-11-27 00:12:00,1723.2,-9.25,1719.8000000000002,-2.0250000000000004,1723.7,124.2
2019-11-27 00:16:00,1722.7,-9.225,1719.6,-1.9249999999999998,1723.3000000000002,124.2
2019-11-27 00:20:00,1722.2,-9.2,1719.05,-1.95,1723.0,124.2
2019-11-27 00:24:00,1722.8,-9.15,1718.9499999999998,-1.65,1723.3,124.2
2019-11-27 00:28:00,1722.4,-8.45,1719.45,-1.5499999999999998,1723.3249999999998,124.2
2019-11-27 00:32:00,1723.0,18.65,1719.35,-0.9500000000000001,1723.35,124.2
2019-11-27 00:36:00,1784.2,45.1,1718.8000000000002,-0.9125000000000001,1723.0,124.2
2019-11-27 00:40:00,1753.275,45.1,1719.2,-1.0625,1723.3,124.2
2019-11-27 00:44:00,1722.35,45.1,1719.6,-1.3,1722.7,124.2
2019-11-27 00:48:00,1722.625,45.1,1719.6666666666667,-1.7,1723.0,124.2
2019-11-27 00:52:00,1722.9,45.1,1720.1,-1.4500000000000002,1723.15,124.2
2019-11-27 00:56:00,1714.156830601093,44.99947368421053,1719.7,-1.3,1722.975,124.2
2019-11-27 01:00:00,1705.413661202186,44.898947368421055,1719.6,-1.3,1722.8,124.2
2019-11-27 01:04:00,1696.6704918032788,44.79842105263158,1719.0,-1.3,1713.6467032967032,123.64945054945055
2019-11-27 01:08:00,1687.9273224043716,44.69789473684211,1711.271505376344,-1.117741935483871,1704.4934065934065,123.0989010989011
2019-11-27 01:12:00,1679.1841530054646,44.597368421052636,1703.5430107526881,-0.935483870967742,1695.34010989011,122.54835164835166
2019-11-27 01:16:00,1670.4409836065574,44.49684210526316,1695.8145161290322,-0.753225806451613,1686.1868131868132,121.9978021978022
2019-11-27 01:20:00,1661.6978142076503,44.39631578947368,1688.0860215053763,-0.5709677419354839,1677.0335164835165,121.44725274725275
2019-11-27 01:24:00,1652.9546448087433,44.29578947368421,1680.3575268817203,-0.3887096774193549,1667.8802197802197,120.8967032967033
2019-11-27 01:28:00,1644.211475409836,44.195263157894736,1672.6290322580644,-0.2064516129032259,1658.726923076923,120.34615384615385
2019-11-27 01:32:00,1635.4683060109292,44.09473684210526,1664.9005376344087,-0.024193548387096753,1649.5736263736264,119.7956043956044
2019-11-27 01:36:00,1626.725136612022,43.99421052631579,1657.1720430107528,0.15806451612903216,1640.4203296703297,119.24505494505495
2019-11-27 01:40:00,1617.9819672131148,43.89368421052632,1649.4435483870968,0.3403225806451611,1631.267032967033,118.69450549450549
2019-11-27 01:44:00,1609.2387978142078,43.793157894736844,1641.715053763441,0.5225806451612902,1622.1137362637362,118.14395604395605
2019-11-27 01:48:00,1600.4956284153006,43.69263157894737,1633.986559139785,0.7048387096774194,1612.9604395604395,117.5934065934066
2019-11-27 01:52:00,1591.7524590163935,43.5921052631579,1626.258064516129,0.8870967741935483,1603.807142857143,117.04285714285714
2019-11-27 01:56:00,1583.0092896174865,43.491578947368424,1618.529569892473,1.0693548387096772,1594.6538461538462,116.49230769230769
2019-11-27 02:00:00,1574.2661202185793,43.39105263157895,1610.8010752688172,1.2516129032258065,1585.5005494505494,115.94175824175824
2019-11-27 02:04:00,1565.5229508196721,43.29052631578948,1603.0725806451612,1.4338709677419355,1576.3472527472527,115.3912087912088
2019-11-27 02:08:00,1556.7797814207652,43.19,1595.3440860215053,1.6161290322580644,1567.193956043956,114.84065934065934
2019-11-27 02:12:00,1548.036612021858,43.089473684210525,1587.6155913978496,1.7983870967741933,1558.0406593406592,114.29010989010989
2019-11-27 02:16:00,1539.2934426229508,42.98894736842105,1579.8870967741937,1.9806451612903222,1548.8873626373627,113.73956043956045
2019-11-27 02:20:00,1530.5502732240438,42.88842105263158,1572.1586021505377,2.162903225806452,1539.734065934066,113.189010989011
2019-11-27 02:24:00,1521.8071038251367,42.787894736842105,1564.4301075268818,2.3451612903225802,1530.5807692307692,112.63846153846154
