Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,06:03:08,1597,8,16,3,---,---,
Starboard Temperature,06:03:46,1598,0,16,1,---,---,
Starboard Temperature,06:04:23,1598,0,16,0,---,---,
Starboard Temperature,06:05:00,1598,2,15,7,---,---,
Starboard Temperature,06:05:37,1596,6,15,5,---,---,
Starboard Temperature,06:06:14,1597,1,15,3,---,---,
Starboard Temperature,06:06:53,---,---,---,---,---,---,
Starboard Temperature,06:07:31,1594,6,15,0,---,---,
Starboard Temperature,06:08:09,1591,8,14,8,---,---,
Starboard Temperature,06:08:46,1589,4,14,7,---,---,
Starboard Temperature,06:09:23,1586,5,14,7,---,---,
Starboard Temperature,06:10:00,1583,6,14,6,---,---,
Starboard Temperature,06:10:38,1582,9,14,4,---,---,
Starboard Temperature,06:11:15,1582,7,14,4,---,---,
Starboard Temperature,06:11:52,1583,4,14,3,---,---,
Starboard Temperature,06:12:29,1584,5,14,3,---,---,
Starboard Temperature,06:13:06,1586,0,14,2,---,---,
Starboard Temperature,06:13:43,1587,3,14,2,---,---,
Starboard Temperature,06:14:21,1588,6,14,1,---,---,
Starboard Temperature,06:15:01,1590,2,14,0,---,---,
Starboard Temperature,06:15:38,1592,8,13,8,---,---,
Starboard Temperature,06:16:17,1593,9,13,7,---,---,
Starboard Temperature,06:16:56,---,---,---,---,---,---,
Starboard Temperature,06:17:36,---,---,---,---,---,---,
Starboard Temperature,06:18:12,1596,3,13,4,---,---,
Starboard Temperature,06:18:54,1596,6,13,3,---,---,
Starboard Temperature,06:19:32,1597,4,13,3,---,---,
Starboard Temperature,06:20:10,1597,6,13,2,---,---,
Starboard Temperature,06:20:47,1597,9,13,1,---,---,
Starboard Temperature,06:21:25,1598,4,13,0,---,---,
Starboard Temperature,06:22:04,1598,4,13,0,---,---,
Starboard Temperature,06:22:40,1598,8,12,9,---,---,
Starboard Temperature,06:23:17,1599,1,12,9,---,---,
Starboard Temperature,06:23:56,1599,0,12,9,---,---,
Starboard Temperature,06:24:32,1599,5,12,8,---,---,
Starboard Temperature,06:25:09,1599,3,12,8,---,---,
Starboard Temperature,06:25:46,1599,2,12,8,---,---,
Starboard Temperature,06:26:23,1599,1,12,8,---,---,
Starboard Temperature,06:27:00,1599,4,12,7,---,---,
Starboard Temperature,06:27:36,1599,4,12,7,---,---,
Starboard Temperature,06:28:13,1599,2,12,6,---,---,
Starboard Temperature,06:28:50,1599,2,12,6,---,---,
Starboard Temperature,06:29:27,1599,7,12,6,---,---,
Starboard Temperature,06:30:05,1599,2,12,6,---,---,
Starboard Temperature,06:30:42,1600,1,12,5,---,---,
Starboard Temperature,06:31:19,1599,7,12,5,---,---,
Starboard Temperature,06:31:56,1599,3,12,4,---,---,
Starboard Temperature,06:32:34,1599,7,12,4,---,---,
Starboard Temperature,06:33:12,1599,6,12,5,---,---,
