Tiempo,Escalas(m),Datos1(m)
2019-11-28 23:55:41,1656.1,100.56666666666668
2019-11-28 23:56:54,1787.2,99.9
2019-11-28 23:57:17,1786.6,103.8
2019-11-28 23:57:41,1787.1,101.7
2019-11-28 23:58:31,1787.6,96.65
2019-11-28 23:58:56,1789.2,91.6
2019-11-28 23:59:19,1787.9,85.9
2019-11-28 23:59:46,1787.7,93.0
2019-11-28 00:00:32,1787.9,96.6
2019-11-28 00:01:48,1788.2,95.68333333333332
2019-11-28 00:02:40,1789.4,94.76666666666667
2019-11-28 00:03:03,1789.2,93.85
2019-11-28 00:03:29,1788.5,92.93333333333332
2019-11-28 00:03:55,1788.7,92.01666666666667
2019-11-28 00:04:20,1792.9,91.1
2019-11-28 00:04:45,1789.5,94.03333333333333
2019-11-28 00:05:36,1789.2,96.96666666666667
2019-11-28 00:05:59,1788.4,99.9
2019-11-28 00:06:22,1789.3,100.66000000000001
2019-11-28 00:07:15,1789.0,101.42
2019-11-28 00:08:29,1789.3,102.18
2019-11-28 00:08:57,1789.7,102.94
2019-11-28 00:09:44,1789.5,103.7
2019-11-28 00:10:08,1790.4,103.1
2019-11-28 00:10:33,1790.3,102.5
2019-11-28 00:11:20,1790.4,101.9
2019-11-28 00:11:44,1791.2,101.3
2019-11-28 00:12:11,1790.9,101.9
2019-11-28 00:12:36,1790.9,98.9
2019-11-28 00:13:01,1791.1,100.6
2019-11-28 00:13:27,1791.1,101.9
2019-11-28 00:13:54,1791.2,98.6
2019-11-28 00:14:42,1791.0,101.2
2019-11-28 00:15:03,1791.1,101.2
2019-11-28 00:15:53,1791.9,102.4
2019-11-28 00:16:17,1791.6,101.0
2019-11-28 00:17:07,1793.5,98.0
2019-11-28 00:17:33,1790.7,100.5
2019-11-28 00:17:57,1791.0,98.8
2019-11-28 00:18:22,1791.2,99.4
2019-11-28 00:18:47,1791.2,99.6
2019-11-28 00:19:38,1791.2,97.9
2019-11-28 00:20:01,1791.0,96.2
2019-11-28 00:21:44,1790.9,98.6
2019-11-28 00:23:51,1791.7,97.2
2019-11-28 00:28:25,1793.2,101.6
