Tiempo,Escalas(m),Datos1(Fa)
2019-11-28 13:44:57,764.9,
2019-11-28 13:46:36,761.3,37.2
2019-11-28 13:47:26,764.9,34.9
2019-11-28 13:47:52,762.9,36.5
2019-11-28 13:48:15,762.2,35.75
2019-11-28 13:48:39,763.3,35.0
2019-11-28 13:49:03,762.4,35.7
2019-11-28 13:49:25,763.5,36.4
2019-11-28 13:50:13,762.9,36.35
2019-11-28 13:50:35,762.8,36.3
2019-11-28 13:50:57,763.0,36.25
2019-11-28 13:51:20,763.2,36.2
2019-11-28 13:51:43,763.2,36.6
2019-11-28 13:52:10,764.0,36.46
2019-11-28 13:52:32,762.3,36.32
2019-11-28 13:52:55,763.6,36.18
2019-11-28 13:53:16,763.0,36.04
2019-11-28 13:53:36,763.6,35.9
2019-11-28 13:53:59,763.2,35.5
2019-11-28 13:55:11,763.0,35.1
2019-11-28 13:55:35,763.2,35.2
2019-11-28 13:55:59,763.5,34.6
2019-11-28 13:56:22,763.3,34.0
2019-11-28 13:56:45,764.8,32.8
2019-11-28 13:57:07,763.0,34.5
2019-11-28 13:57:29,762.9,34.4
2019-11-28 13:57:51,763.2,34.2
2019-11-28 13:58:16,763.7,35.7
2019-11-28 13:58:44,762.9,35.7
2019-11-28 13:59:29,762.6,35.7
2019-11-28 13:59:52,762.7,35.7
2019-11-28 14:00:41,762.1,36.6
2019-11-28 14:01:28,762.9,35.5
2019-11-28 14:01:53,762.4,35.58
2019-11-28 14:02:16,763.0,35.66
2019-11-28 14:02:39,762.0,35.74
2019-11-28 14:03:01,763.5,35.82
2019-11-28 14:04:14,761.9,35.9
2019-11-28 14:04:36,762.5,36.1
2019-11-28 14:04:59,762.2,35.1
2019-11-28 14:05:24,762.9,35.65
2019-11-28 14:05:49,763.5,36.2
2019-11-28 14:06:35,761.2,36.75
2019-11-28 14:07:26,762.5,37.3
2019-11-28 14:07:50,763.2,36.7
2019-11-28 14:08:12,765.4,36.1
2019-11-28 14:08:34,763.4,35.5
2019-11-28 14:08:56,762.4,35.5
2019-11-28 14:09:19,763.9,35.1
2019-11-28 14:10:05,763.0,34.7
2019-11-28 14:10:28,763.3,35.7
2019-11-28 14:10:53,764.4,36.0
