Tiempo,Escalas(m),Datos1(°)
2019-11-28 03:46:12,2696.4,67.36666666666667
2019-11-28 03:46:58,2139.6,100.9
2019-11-28 03:47:48,1809.2,49.6
2019-11-28 03:48:35,880.3,-1.7
2019-11-28 03:49:00,880.6,-1.5
2019-11-28 03:49:25,882.4,-1.3
2019-11-28 03:50:17,1810.3,14.099999999999998
2019-11-28 03:50:44,1784.6,29.499999999999996
2019-11-28 03:51:39,1677.7,44.9
2019-11-28 03:52:28,1781.1,11.7
2019-11-28 03:53:19,1781.7,6.6
2019-11-28 03:53:45,1777.3,1.5
2019-11-28 03:54:35,1811.2,6.1
2019-11-28 03:55:23,1493.4,4.366666666666666
2019-11-28 03:56:39,1625.1,2.6333333333333333
