Tiempo,Escalas(m),Datos1(°)
2019-11-28 02:40:42,1805.5,0.2
2019-11-28 02:41:06,1805.3,0.44999999999999996
2019-11-28 02:41:55,1805.5,0.7
2019-11-28 02:42:50,1805.9,0.2
2019-11-28 02:43:15,1805.7,-0.2
2019-11-28 02:43:37,1805.4,-0.6
2019-11-28 02:44:02,1805.8,1.4
2019-11-28 02:44:52,1806.2,0.0
2019-11-28 02:45:16,1806.2,0.0
2019-11-28 02:45:41,1805.4,-0.4
2019-11-28 02:46:05,1805.6,-1.3
2019-11-28 02:46:50,1805.9,0.5
2019-11-28 02:47:15,1805.6,0.0
2019-11-28 02:47:37,1805.3,-0.1
2019-11-28 02:47:59,1805.4,-0.1
2019-11-28 02:48:24,1805.6,0.8
2019-11-28 02:48:48,1805.4,-0.2
2019-11-28 02:49:14,1805.6,0.3
2019-11-28 02:49:39,1805.7,0.3
2019-11-28 02:50:02,1805.9,1.4
2019-11-28 02:50:51,1806.0,-0.3
2019-11-28 02:51:17,1805.6,-0.5
2019-11-28 02:52:02,1805.7,1.0
2019-11-28 02:52:24,1805.7,0.3
2019-11-28 02:53:12,1805.7,0.2
2019-11-28 02:53:35,1805.3,0.3
2019-11-28 02:53:58,1805.6,0.0
2019-11-28 02:54:45,1805.6,0.2
2019-11-28 02:55:10,1805.5,-0.4
2019-11-28 02:55:56,1805.4,-0.4
2019-11-28 02:56:18,1805.6,1.2
2019-11-28 02:57:09,1806.1,1.3
2019-11-28 02:57:33,1805.6,0.1
2019-11-28 02:58:19,1805.3,-0.2
2019-11-28 02:59:09,1805.6,0.0
2019-11-28 02:59:33,1805.9,0.7
2019-11-28 02:59:57,1805.4,0.1
2019-11-28 03:00:45,891.6,28.2
2019-11-28 03:02:25,1635.7,56.3
2019-11-28 03:03:11,1804.8,27.9
2019-11-28 03:03:34,1805.0,-0.5
2019-11-28 03:03:59,1805.1,0.7
2019-11-28 03:04:49,1804.9,0.7
2019-11-28 03:05:14,1804.8,-0.9
