Tiempo,Escalas(m),Datos1(°)
2019-11-28 16:53:24,1742.3,13.6
2019-11-28 16:55:42,1743.5,7.3999999999999995
2019-11-28 16:57:08,1742.7,1.2
2019-11-28 16:58:02,1742.4,1.6
2019-11-28 16:59:26,1743.5,2.9
2019-11-28 16:59:53,1743.1,2.3
2019-11-28 17:00:21,1742.4,1.9333333333333331
2019-11-28 17:03:11,1742.6,1.5666666666666664
2019-11-28 17:03:38,1742.6,1.2
2019-11-28 17:04:04,1743.2,2.2
2019-11-28 17:06:53,1743.1,1.1
2019-11-28 17:08:44,1742.3,99.6
2019-11-28 17:09:10,1742.0,99.55
2019-11-28 17:09:36,1741.8,99.5
2019-11-28 17:10:04,1741.2,50.5
2019-11-28 17:11:58,1741.9,1.5
2019-11-28 17:12:54,1742.0,2.1
2019-11-28 17:16:07,1741.9,2.7
2019-11-28 17:18:17,1742.2,0.9
2019-11-28 17:21:30,1742.9,1.15
2019-11-28 17:22:23,1741.7,1.4
2019-11-28 17:27:05,2851.9,-1.35
2019-11-28 17:29:43,862.1,-4.1
2019-11-28 17:36:54,2281.3,26.9
