Tiempo,Escalas(m),Datos1(m)
2019-11-28 18:08:46,1697.4,119.6
2019-11-28 18:09:23,1696.7,118.6
2019-11-28 18:10:00,1696.9,120.0
2019-11-28 18:10:37,1696.8,120.8
2019-11-28 18:11:14,1696.7,119.3
2019-11-28 18:11:50,1697.3,118.9
2019-11-28 18:12:27,1696.4,120.4
2019-11-28 18:13:04,1696.3,119.3
2019-11-28 18:13:41,1696.1,120.1
2019-11-28 18:14:18,1695.9,119.8
2019-11-28 18:14:55,1696.3,120.8
2019-11-28 18:15:32,1695.7,121.0
2019-11-28 18:16:09,1696.1,121.5
2019-11-28 18:16:46,1696.1,122.2
2019-11-28 18:17:23,1695.6,122.7
2019-11-28 18:18:00,1695.7,123.1
2019-11-28 18:18:37,1695.6,123.4
2019-11-28 18:19:13,1695.5,122.6
2019-11-28 18:19:52,1696.3,123.2
2019-11-28 18:20:29,1695.9,124.8
2019-11-28 18:21:06,1696.1,125.4
2019-11-28 18:21:42,1696.1,124.3
2019-11-28 18:22:19,1696.3,123.7
2019-11-28 18:22:56,1696.3,122.3
2019-11-28 18:23:33,1696.4,121.5
2019-11-28 18:24:10,1696.5,120.9
2019-11-28 18:24:47,1696.4,120.8
2019-11-28 18:25:24,1697.3,122.7
2019-11-28 18:26:01,1696.3,122.0
2019-11-28 18:26:38,1696.7,120.8
2019-11-28 18:27:17,1696.2,120.4
2019-11-28 18:27:54,1696.5,119.8
2019-11-28 18:28:31,1695.9,119.4
2019-11-28 18:29:08,1695.7,120.2
2019-11-28 18:29:48,1695.6,120.0
2019-11-28 18:30:25,1695.8,120.6
2019-11-28 18:31:02,1695.4,121.6
2019-11-28 18:31:39,1695.3,120.7
2019-11-28 18:32:16,1695.2,120.9
2019-11-28 18:32:53,1695.5,119.8
2019-11-28 18:33:30,1695.6,119.7
2019-11-28 18:34:07,1695.7,118.6
2019-11-28 18:34:44,1696.1,119.4
2019-11-28 18:35:21,1695.8,120.2
2019-11-28 18:35:58,1695.8,117.6
2019-11-28 18:36:35,1695.9,118.8
2019-11-28 18:37:12,1696.6,118.0
2019-11-28 18:37:49,1696.5,116.1
2019-11-28 18:38:26,1696.9,117.0
2019-11-28 18:39:03,1697.0,115.9
2019-11-28 18:39:41,1696.9,116.8
2019-11-28 18:40:19,1697.0,119.3
2019-11-28 18:40:58,1697.0,121.0
2019-11-28 18:41:35,1697.1,121.3
2019-11-28 18:42:11,1696.7,124.4
2019-11-28 18:42:48,1696.3,125.5
2019-11-28 18:43:25,1696.4,124.4
2019-11-28 18:44:02,1696.2,121.9
2019-11-28 18:44:39,1696.2,120.0
2019-11-28 18:45:16,1695.7,121.7
2019-11-28 18:45:53,1695.4,121.0
2019-11-28 18:46:30,1695.5,121.3
2019-11-28 18:47:07,1695.5,118.7
2019-11-28 18:47:44,1695.0,119.1
2019-11-28 18:48:22,1694.9,120.5
2019-11-28 18:48:59,1695.7,121.7
2019-11-28 18:49:36,1695.5,121.4
2019-11-28 18:50:14,1695.4,123.1
2019-11-28 18:50:51,1695.8,121.6
2019-11-28 18:51:28,1696.0,123.8
2019-11-28 18:52:05,1695.8,120.4
2019-11-28 18:52:43,1695.4,121.2
2019-11-28 18:53:20,1695.9,120.0
2019-11-28 18:53:57,1695.4,120.5
2019-11-28 18:54:35,1695.9,119.7
2019-11-28 18:55:12,1695.9,118.8
2019-11-28 18:55:49,1696.2,118.6
2019-11-28 18:56:27,1695.7,119.9
2019-11-28 18:57:04,1695.9,127.1
2019-11-28 18:57:41,1695.8,120.9
2019-11-28 18:58:18,1695.6,120.1
2019-11-28 18:58:56,1695.4,119.4
2019-11-28 18:59:33,1695.6,120.4
2019-11-28 19:00:10,1695.1,122.2
2019-11-28 19:00:48,1695.5,120.9
2019-11-28 19:01:25,1695.5,120.4
2019-11-28 19:02:02,1695.6,123.4
2019-11-28 19:02:39,1695.6,123.6
2019-11-28 19:03:16,1695.4,127.2
2019-11-28 19:03:54,1696.1,126.0
2019-11-28 19:04:31,1695.7,126.9
2019-11-28 19:05:08,1695.6,124.1
2019-11-28 19:05:45,1695.7,123.7
2019-11-28 19:06:23,1695.8,123.8
2019-11-28 19:07:00,1695.9,124.0
2019-11-28 19:07:37,1695.8,123.1
2019-11-28 19:08:14,1696.4,122.9
2019-11-28 19:08:52,1696.4,122.0
2019-11-28 19:09:29,1696.4,125.1
2019-11-28 19:10:06,1696.0,126.7
2019-11-28 19:10:45,1695.7,135.9
2019-11-28 19:11:23,1695.7,128.7
2019-11-28 19:12:03,1695.8,128.89999999999998
2019-11-28 19:12:41,1695.4,129.1
2019-11-28 19:13:18,1695.0,127.5
2019-11-28 19:13:56,1695.6,127.4
2019-11-28 19:14:33,1696.0,128.0
2019-11-28 19:15:10,1695.8,125.9
2019-11-28 19:15:48,1695.6,127.1
2019-11-28 19:16:25,1695.9,125.6
2019-11-28 19:17:42,1696.2,123.2
2019-11-28 19:18:20,1695.8,122.0
2019-11-28 19:18:57,1696.2,123.0
2019-11-28 19:19:34,1696.3,121.3
2019-11-28 19:20:11,1696.3,121.9
2019-11-28 19:20:49,1696.1,123.2
2019-11-28 19:21:26,1696.4,124.3
2019-11-28 19:22:03,1696.2,122.9
2019-11-28 19:24:02,1696.1,121.2
2019-11-28 19:28:44,1696.1,126.6
2019-11-28 19:33:26,1696.1,125.4
2019-11-28 19:38:36,1695.5,128.0
2019-11-28 19:47:33,1694.4,133.0
2019-11-28 19:51:47,1695.4,131.7
2019-11-28 19:56:30,1695.6,121.5
2019-11-28 20:00:44,1694.2,122.0
2019-11-28 20:04:58,1692.6,127.7
2019-11-28 20:09:13,1694.1,126.0
2019-11-28 20:13:27,1694.6,129.8
2019-11-28 20:17:41,1693.7,126.6
2019-11-28 20:21:56,1694.4,122.3
2019-11-28 20:33:44,1696.0,114.8
2019-11-28 20:37:59,1694.8,116.8
2019-11-28 20:42:14,1694.8,122.9
2019-11-28 20:46:28,1694.7,122.7
2019-11-28 20:50:15,1694.9,117.7
2019-11-28 20:54:01,1695.1,118.6
2019-11-28 20:58:16,1694.8,123.1
2019-11-28 21:06:17,1694.1,125.3
2019-11-28 21:10:31,1694.1,123.2
2019-11-28 21:14:46,1693.6,119.7
2019-11-28 21:19:00,1693.9,118.2
2019-11-28 21:23:15,1694.1,122.1
2019-11-28 21:27:29,1694.9,126.6
2019-11-28 21:31:44,1694.5,122.1
2019-11-28 21:39:45,1694.5,116.0
2019-11-28 21:43:59,1694.4,118.6
2019-11-28 21:48:14,1694.3,118.7
2019-11-28 21:52:29,1694.9,117.7
2019-11-28 21:56:43,1694.8,118.6
2019-11-28 22:00:58,1694.9,117.2
2019-11-28 22:05:12,1694.7,115.6
2019-11-28 22:09:27,1694.9,118.4
2019-11-28 22:13:41,1694.7,120.9
2019-11-28 22:17:55,1694.8,119.5
2019-11-28 22:22:10,1694.9,115.1
2019-11-28 22:26:25,1694.6,121.6
2019-11-28 22:30:39,1694.9,116.8
2019-11-28 22:34:53,1694.7,115.1
2019-11-28 22:39:07,1695.0,112.7
2019-11-28 22:43:21,1694.1,113.9
2019-11-28 22:47:36,1693.9,115.4
2019-11-28 22:51:22,1693.6,116.9
2019-11-28 22:55:36,1693.6,117.1
2019-11-28 22:59:50,1694.3,117.7
2019-11-28 23:04:05,1695.6,113.8
2019-11-28 23:08:19,1695.2,113.0
2019-11-28 23:12:33,1695.2,115.3
2019-11-28 23:16:19,1695.9,111.6
2019-11-28 23:20:33,1695.7,108.2
2019-11-28 23:24:48,1695.7,109.3
2019-11-28 23:29:02,1695.6,109.9
2019-11-28 23:33:16,1695.7,111.4
2019-11-28 23:37:30,1695.4,115.5
2019-11-28 23:41:44,1696.4,111.2
2019-11-28 23:45:58,1696.4,113.7
2019-11-28 23:50:13,1696.3,115.6
2019-11-28 23:54:27,1696.1,120.8
2019-11-28 23:58:41,1695.5,123.5
2019-11-28 00:02:55,1696.1,119.3
2019-11-28 00:07:09,1697.0,116.4
2019-11-28 00:11:23,1696.2,115.1
2019-11-28 00:15:37,1695.4,117.2
2019-11-28 00:19:52,1696.5,117.6
2019-11-28 00:24:06,1696.4,116.0
2019-11-28 00:31:38,1696.9,113.1
2019-11-28 00:35:52,1696.5,119.5
2019-11-28 00:40:07,1697.4,117.1
2019-11-28 00:44:21,1697.6,116.8
2019-11-28 00:48:35,1696.9,115.6
2019-11-28 00:52:49,1697.2,116.7
2019-11-28 00:56:36,1697.2,119.6
2019-11-28 01:10:17,1694.7,110.0
2019-11-28 01:17:22,1694.8,113.1
2019-11-28 01:20:40,1694.1,116.2
2019-11-28 01:24:54,1694.8,117.7
2019-11-28 01:29:08,1695.5,124.7
2019-11-28 01:33:23,1695.2,123.0
2019-11-28 01:37:38,1695.9,123.9
2019-11-28 01:41:53,1696.7,123.4
2019-11-28 01:45:39,1695.4,122.9
2019-11-28 01:49:53,1695.1,126.8
2019-11-28 01:54:07,1695.1,127.4
2019-11-28 01:58:21,1695.1,126.1
2019-11-28 02:02:35,1694.9,124.1
2019-11-28 02:06:49,1694.8,124.8
2019-11-28 02:11:03,1694.7,126.2
2019-11-28 02:15:17,1694.7,123.1
2019-11-28 02:19:31,1695.4,122.3
2019-11-28 02:23:46,1695.0,122.8
2019-11-28 02:27:32,1694.4,123.3
2019-11-28 02:31:46,1693.9,123.0
2019-11-28 02:36:00,1694.4,117.4
2019-11-28 02:44:01,1694.6,122.2
2019-11-28 02:48:15,1694.9,121.0
