Tiempo,Escalas(m),Datos1(°)
2019-11-28 04:43:48,1811.4,0.6
2019-11-28 04:44:13,1811.2,-0.7
2019-11-28 04:44:38,1811.3,-0.6
2019-11-28 04:45:01,1812.0,0.0
2019-11-28 04:45:51,1811.9,0.6
2019-11-28 04:46:45,1812.5,1.2
2019-11-28 04:47:07,1812.2,-0.5
2019-11-28 04:47:33,1812.4,-0.3
2019-11-28 04:47:58,1812.1,-0.3
2019-11-28 04:48:47,1812.9,-0.8
2019-11-28 04:49:37,1812.6,0.9
2019-11-28 04:50:50,1812.7,0.7
2019-11-28 04:52:02,1812.1,0.6
2019-11-28 04:52:24,1812.3,0.4
2019-11-28 04:53:12,1812.6,-0.1
2019-11-28 04:53:37,1812.4,0.0
2019-11-28 04:54:00,1812.4,-1.3
2019-11-28 04:54:50,1812.4,0.1
2019-11-28 04:55:15,1812.5,-0.9
2019-11-28 04:56:06,1812.2,0.0
2019-11-28 04:56:29,1812.6,1.3
2019-11-28 04:57:18,1812.1,0.2
2019-11-28 04:58:01,1812.5,-0.1
2019-11-28 04:58:24,1812.2,0.1
2019-11-28 04:58:48,1812.5,1.0
2019-11-28 04:59:12,1812.4,0.0
2019-11-28 04:59:34,1812.6,0.1
2019-11-28 04:59:57,1812.6,-0.5
2019-11-28 05:00:22,1812.0,0.6
2019-11-28 05:00:46,1812.3,0.4
2019-11-28 05:01:09,1812.4,-2.1
2019-11-28 05:01:32,1812.4,0.4
2019-11-28 05:01:55,1812.6,-0.1
2019-11-28 05:02:42,912.5,0.8
2019-11-28 05:03:34,1812.2,0.4
2019-11-28 05:03:59,1812.2,0.4
2019-11-28 05:04:24,1812.1,-0.3
2019-11-28 05:04:49,1812.6,0.9
2019-11-28 05:05:14,1812.4,-1.1
2019-11-28 05:05:38,1812.6,0.4
2019-11-28 05:06:30,1812.2,-0.8
2019-11-28 05:06:56,1812.4,-1.0
2019-11-28 05:07:23,1812.0,-1.2
2019-11-28 05:07:45,1811.3,-0.1
2019-11-28 05:08:08,1811.5,0.6
2019-11-28 05:08:32,1811.7,0.5
2019-11-28 05:09:18,1811.6,0.1
2019-11-28 05:10:06,1811.4,-0.4
2019-11-28 05:10:32,1798.6,4.4
2019-11-28 05:11:48,1810.9,-0.3
2019-11-28 05:12:39,1810.9,0.8
2019-11-28 05:13:01,1810.7,-1.7
2019-11-28 05:13:24,1810.7,0.7
2019-11-28 05:13:49,1811.0,-0.2
2019-11-28 05:14:12,1810.7,0.7
2019-11-28 05:14:34,1810.5,1.0
2019-11-28 05:14:58,1810.6,0.5
2019-11-28 05:15:22,1810.9,0.0
2019-11-28 05:15:45,1810.7,-0.4
2019-11-28 05:16:34,803.7,0.09999999999999998
2019-11-28 05:17:42,1811.1,0.6
2019-11-28 05:18:04,1811.0,-1.3
2019-11-28 05:18:29,1811.2,0.6
2019-11-28 05:19:19,1811.1,0.5
2019-11-28 05:19:45,1810.7,-0.2
2019-11-28 05:20:10,1810.5,-0.2
2019-11-28 05:20:35,1810.7,1.1
2019-11-28 05:21:00,1810.7,-0.3
2019-11-28 05:21:26,1810.7,1.3
