Tiempo,Escalas(m),Datos1(°)
2019-11-28 15:47:38,1797.8,0.2
2019-11-28 15:48:03,1797.2,25.924999999999997
2019-11-28 15:48:26,1797.9,51.65
2019-11-28 15:48:48,1797.6,77.375
2019-11-28 15:49:31,1797.6,103.1
2019-11-28 15:49:54,1797.8,96.34666666666666
2019-11-28 15:50:17,1797.5,89.59333333333333
2019-11-28 15:51:06,2375.6,82.84
2019-11-28 15:51:54,1797.4,76.08666666666666
2019-11-28 15:52:39,1118.8,69.33333333333333
2019-11-28 15:53:30,1797.5,62.58
2019-11-28 15:53:55,1797.3,55.82666666666666
2019-11-28 15:54:39,2177.7,49.07333333333333
