Tiempo,Escalas(m),Datos1(m)
2019-11-28 03:27:24,1806.0,113.9
2019-11-28 03:28:15,1581.1,114.6
2019-11-28 03:29:01,1806.3,115.3
2019-11-28 03:29:25,1805.7,114.4
2019-11-28 03:29:49,1806.2,113.8
2019-11-28 03:30:34,1805.8,119.2
2019-11-28 03:31:00,1806.1,123.05000000000001
2019-11-28 03:31:48,1805.7,126.9
2019-11-28 03:32:14,1806.1,130.3
2019-11-28 03:32:40,1806.0,131.1
2019-11-28 03:33:04,1805.5,131.2
2019-11-28 03:33:55,1805.1,131.0
2019-11-28 03:34:41,1805.2,132.8
2019-11-28 03:35:05,1805.1,136.2
2019-11-28 03:35:51,1804.6,133.9
2019-11-28 03:37:55,1806.2,132.6
2019-11-28 03:38:42,1807.8,133.9
2019-11-28 03:39:33,1715.5,137.45
2019-11-28 03:40:20,1805.2,141.0
2019-11-28 03:41:13,1804.6,136.0
