Tiempo,Escalas(m),Datos1(°)
2019-11-28 17:30:20,1793.8,14.2
2019-11-28 17:33:20,1793.1,102.3
2019-11-28 17:38:48,1792.2,102.0
2019-11-28 17:48:47,1792.3,14.1
2019-11-28 18:11:02,1794.9,4.3
2019-11-28 18:17:40,1796.0,102.8
2019-11-28 18:20:25,1796.3,1.2
2019-11-28 18:22:17,1795.6,0.1
2019-11-28 18:30:23,1795.5,102.3
2019-11-28 18:39:43,1796.2,0.7
2019-11-28 18:40:44,1759.9,0.6499999999999999
2019-11-28 18:42:44,1796.6,0.6
2019-11-28 18:43:44,1796.6,2.1
2019-11-28 18:45:46,1796.3,-0.6
2019-11-28 18:46:46,1796.0,0.1
2019-11-28 18:52:05,1795.3,16.3
2019-11-28 18:53:58,1794.4,103.9
2019-11-28 18:56:59,2122.7,81.67500000000001
2019-11-28 19:10:25,1341.0,59.45
2019-11-28 19:16:02,1795.1,37.224999999999994
2019-11-28 19:23:23,1794.8,15.0
