Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,05:36:58,1389,5,17,4,---,---,
Starboard Temperature,05:37:36,---,---,---,---,---,---,
Starboard Temperature,05:38:17,---,---,---,---,---,---,
Starboard Temperature,05:38:59,1683,7,16,1,---,---,
Starboard Temperature,05:39:41,1688,2,---,---,---,---,
Starboard Temperature,05:40:20,1691,4,15,4,---,---,
Starboard Temperature,05:40:58,1693,6,15,3,---,---,
Starboard Temperature,05:41:37,1694,3,15,0,---,---,
Starboard Temperature,05:42:19,---,---,---,---,---,---,
Starboard Temperature,05:43:01,---,---,---,---,---,---,
Starboard Temperature,05:43:40,1693,4,14,5,---,---,
Starboard Temperature,05:44:18,1692,9,14,3,---,---,
Starboard Temperature,05:44:56,1692,4,14,2,---,---,
Starboard Temperature,05:45:33,1692,4,14,1,---,---,
Starboard Temperature,05:46:12,1692,3,13,9,---,---,
Starboard Temperature,05:46:49,1692,2,13,8,---,---,
Starboard Temperature,05:47:26,1697,1,13,4,---,---,
Starboard Temperature,05:48:03,1692,3,13,6,---,---,
Starboard Temperature,05:48:40,1692,8,13,4,---,---,
Starboard Temperature,05:49:17,1692,6,13,3,---,---,
Starboard Temperature,05:49:54,1692,6,13,2,---,---,
Starboard Temperature,05:50:31,1691,9,13,1,---,---,
Starboard Temperature,05:51:09,1692,4,13,0,---,---,
Starboard Temperature,05:51:49,1692,1,13,0,---,---,
Starboard Temperature,05:52:26,1692,7,12,8,---,---,
Starboard Temperature,05:53:05,1694,0,12,7,---,---,
Starboard Temperature,05:53:44,1694,6,---,---,---,---,
Starboard Temperature,05:54:21,1695,1,12,6,---,---,
Starboard Temperature,05:54:59,1695,9,12,5,---,---,
Starboard Temperature,05:55:38,1696,7,---,---,---,---,
Starboard Temperature,05:56:16,1696,7,---,---,---,---,
Starboard Temperature,05:56:55,1697,6,---,---,---,---,
Starboard Temperature,05:57:33,1697,5,---,---,---,---,
Starboard Temperature,05:58:08,1697,7,12,2,---,---,
Starboard Temperature,05:58:47,1697,7,---,---,---,---,
Starboard Temperature,05:59:26,1697,7,---,---,---,---,
Starboard Temperature,06:00:03,1697,2,12,3,---,---,
Starboard Temperature,06:00:44,---,---,---,---,---,---,
Starboard Temperature,06:01:23,1697,2,12,0,---,---,
Starboard Temperature,06:02:03,---,---,---,---,---,---,
