Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,06:33:25,---,---,---,---,---,---,
Capturas 1,06:33:49,---,---,---,---,---,---,
Capturas 1,06:34:15,---,---,---,---,---,---,
Capturas 1,06:34:40,---,---,---,---,---,---,
Capturas 1,06:35:06,---,---,---,---,---,---,
Capturas 1,06:35:33,---,---,---,---,---,---,
Capturas 1,06:35:59,---,---,---,---,---,---,
Capturas 1,06:36:24,---,---,---,---,---,---,
Capturas 1,06:36:51,---,---,---,---,---,---,
Capturas 1,06:37:14,---,---,---,---,---,---,
Capturas 1,06:37:40,---,---,---,---,---,---,
Capturas 1,06:38:02,---,---,---,---,---,---,
Capturas 1,06:38:26,---,---,---,---,---,---,
Capturas 1,06:38:51,---,---,---,---,---,---,
Capturas 1,06:39:17,---,---,---,---,---,---,
Capturas 1,06:39:41,---,---,---,---,---,---,
Capturas 1,06:40:06,---,---,---,---,---,---,
Capturas 1,06:40:29,---,---,---,---,---,---,
Capturas 1,06:40:57,---,---,---,---,---,---,
Capturas 1,06:41:22,---,---,---,---,---,---,
Capturas 1,06:41:47,---,---,---,---,---,---,
Capturas 1,06:42:12,---,---,---,---,---,---,
Capturas 1,06:42:38,---,---,---,---,---,---,
Capturas 1,06:43:03,---,---,---,---,---,---,
Capturas 1,06:43:27,---,---,---,---,---,---,
Capturas 1,06:43:51,---,---,---,---,---,---,
Capturas 1,06:44:16,---,---,---,---,---,---,
Capturas 1,06:44:38,---,---,---,---,---,---,
Capturas 1,06:45:02,---,---,---,---,---,---,
Capturas 1,06:45:30,---,---,---,---,---,---,
Capturas 1,06:45:55,---,---,---,---,---,---,
Capturas 1,06:46:19,---,---,---,---,---,---,
Capturas 1,06:46:45,---,---,---,---,---,---,
Capturas 1,06:47:11,---,---,---,---,---,---,
Capturas 1,06:47:35,---,---,---,---,---,---,
Capturas 1,06:47:58,---,---,---,---,---,---,
Capturas 1,06:48:22,---,---,---,---,---,---,
Capturas 1,06:48:45,---,---,---,---,---,---,
Capturas 1,06:49:11,---,---,---,---,---,---,
Capturas 1,06:49:37,---,---,---,---,---,---,
Capturas 1,06:50:02,---,---,---,---,---,---,
Capturas 1,06:50:26,---,---,---,---,---,---,
Capturas 1,06:50:53,---,---,---,---,---,---,
Capturas 1,06:51:19,---,---,---,---,---,---,
Capturas 1,06:51:44,---,---,---,---,---,---,
Capturas 1,06:52:06,---,---,---,---,---,---,
Capturas 1,06:52:30,---,---,---,---,---,---,
Capturas 1,06:52:54,---,---,---,---,---,---,
Capturas 1,06:53:23,---,---,---,---,---,---,
Capturas 1,06:53:47,---,---,---,---,---,---,
Capturas 1,06:54:12,---,---,---,---,---,---,
Capturas 1,06:54:35,---,---,---,---,---,---,
Capturas 1,06:55:00,---,---,---,---,---,---,
Capturas 1,06:55:23,---,---,---,---,---,---,
Capturas 1,06:55:47,---,---,---,---,---,---,
Capturas 1,06:56:13,---,---,---,---,---,---,
Capturas 1,06:56:37,---,---,---,---,---,---,
Capturas 1,06:57:02,---,---,---,---,---,---,
Capturas 1,06:57:28,---,---,---,---,---,---,
Capturas 1,06:57:51,---,---,---,---,---,---,
Capturas 1,06:58:14,---,---,---,---,---,---,
